date,Reff_mean,rho_A
2020-09-01,1.0316686891017577,3.4285779432625665
2020-09-02,1.0573670226933736,3.4285779432625665
2020-09-03,1.0661777663003362,3.4285779432625665
2020-09-04,1.1036525796264374,3.4285779432625665
2020-09-05,1.639372261208578,3.4285779432625665
2020-09-06,1.6817762962962972,3.4285779432625665
2020-09-07,1.0599260237523334,3.4285779432625665
2020-09-08,1.0751015960908903,3.4285779432625665
2020-09-09,1.1154713656541986,3.4285779432625665
2020-09-10,1.1093628104613154,3.4285779432625665
2020-09-11,1.1359724156814262,3.4285779432625665
2020-09-12,1.6564319825680638,3.4285779432625665
2020-09-13,1.7002522090121337,3.4285779432625665
2020-09-14,1.170829281860799,3.4285779432625665
2020-09-15,1.175260205792208,3.4285779432625665
2020-09-16,1.172452618654046,3.4285779432625665
2020-09-17,1.1728705736030671,3.4285779432625665
2020-09-18,1.1950766623727156,3.4285779432625665
2020-09-19,1.6480276289207876,3.4285779432625665
2020-09-20,1.6938903531317877,3.4285779432625665
2020-09-21,1.1604574758397963,3.4285779432625665
2020-09-22,1.1751670932691505,3.4285779432625665
2020-09-23,1.1896469516494592,3.4285779432625665
2020-09-24,1.191928087792479,3.4285779432625665
2020-09-25,1.2168521765814988,3.4285779432625665
2020-09-26,1.6663479589201204,3.4285779432625665
2020-09-27,1.6985697728940812,3.4285779432625665
2020-09-28,1.220230429255264,3.4285779432625665
2020-09-29,1.2251886540344858,3.4285779432625665
2020-09-30,1.211996562551792,3.4285779432625665
2020-10-01,1.256326132919866,3.4285779432625665
2020-10-02,1.2526468675676439,3.4285779432625665
2020-10-03,1.6141546031915157,3.4285779432625665
2020-10-04,1.6595173451917435,3.4285779432625665
2020-10-05,1.221121505928667,3.4285779432625665
2020-10-06,1.2242983846239948,3.4285779432625665
2020-10-07,1.253022687879219,3.4285779432625665
2020-10-08,1.2402920661978842,3.4285779432625665
2020-10-09,1.2701362547916848,3.4285779432625665
2020-10-10,1.689046527043287,3.4285779432625665
2020-10-11,1.7220440564982886,3.4285779432625665
2020-10-12,1.224421859840683,3.4285779432625665
2020-10-13,1.2341264776736043,3.4285779432625665
2020-10-14,1.2606549759958423,3.4285779432625665
2020-10-15,1.2562427558560254,3.4285779432625665
2020-10-16,1.280031223211231,3.4285779432625665
2020-10-17,1.6676689886237195,3.4285779432625665
2020-10-18,1.67776595892873,3.4285779432625665
2020-10-19,1.2098760818552032,3.4285779432625665
2020-10-20,1.2146723993719428,3.4285779432625665
2020-10-21,1.215947726670068,3.4285779432625665
2020-10-22,1.2247254712961713,3.4285779432625665
2020-10-23,1.2166671925519854,3.4285779432625665
2020-10-24,1.6309555367654822,3.4285779432625665
2020-10-25,1.6842414027662098,3.4285779432625665
2020-10-26,1.0266047571657344,3.4285779432625665
2020-10-27,1.0218267387706175,3.4285779432625665
