model,beta,gamma,sigma,omega,R0,I0,cost
SIR,0.15724137931034482,0.14285714285714285,,,1.100689655172414,98796.57142857143,24176808532.21042
SEIR,0.1673399014778325,0.14285714285714285,0.1923076923076923,,1.1713793103448276,98796.57142857143,28898468669.755737
SEIRS,0.16700570668661188,0.14285714285714285,0.1923076923076923,0.0008000000000000001,1.1690399468062833,98796.57142857143,14490925932.235495
