beta,gamma,I0,peak_prev,attack_rate
0.10557766104723576,0.07338115861338536,9746.776841097038,0.04254090917487409,0.19542960137381982
0.1335822365134027,0.09993555987829668,19648.697519481553,0.03349773924967826,0.3007357176214467
0.21966082539216125,0.13659457361150168,20935.862667547564,0.08061950662962517,0.6430965780140001
0.10267208303440385,0.23271861274652486,5536.399879520304,9.790249989346276e-05,0.006363524208294669
0.20407467811799762,0.10444385771596608,22992.14501213226,0.14258818335680162,0.7815172902166019
0.15062187374084524,0.25157560687966796,14328.097868004555,0.00025336981260778806,0.006814409678506994
0.27831029681515046,0.11136739414858106,17054.2454454321,0.22962506073912983,0.8911891016490836
0.09685418328677424,0.2556454989388892,21975.39418047687,0.00038860018662513024,0.006812279009575484
0.20838698057024652,0.23437903180974792,9246.840411479861,0.00016351578861717122,0.0075806616622868805
0.1042570740414677,0.23798714704940113,7003.460778704417,0.00012384515805610266,0.006408506321521568
0.15681216108189433,0.16962730757240313,17395.69022624128,0.0003076153452753958,0.00969501446962373
0.18165300691214742,0.1998573987448954,20253.34530409912,0.0003581484682512909,0.009763252005728917
0.1712512739225431,0.1837822467752373,8355.385122746355,0.00014775180783372014,0.00804722864655516
0.16125040598473578,0.23368008636004783,14745.091300414899,0.00026074368378048695,0.007018010347149994
0.1751962000136379,0.10128478905694593,17648.516682742673,0.10266242168013837,0.6989052401062136
0.09114944514207565,0.23012932550958423,6361.073637880771,0.00011248555463968577,0.006374685726063589
0.23038998727296744,0.13004804200735656,22154.74144813515,0.11025700424249907,0.7189144331609529
0.1301348215257923,0.2310878377606791,21619.008914553928,0.00038229807528593346,0.007056682623011068
0.19071811043782436,0.1205033859658631,17949.444926826218,0.07599041088375393,0.6269694914805152
0.25913907639569816,0.07237687696447526,21490.856072538576,0.3600559826908098,0.9682913709695793
0.2773057287116028,0.1070504317464108,16791.926080163354,0.24284315439255147,0.9025543984063333
0.22257829803833962,0.19730542320903946,15985.815926307809,0.006271677327366188,0.131687644258629
0.11091551553255853,0.2542673461984919,3224.6473145092764,5.702280186317629e-05,0.006289852845813071
0.16936507863216452,0.10887621806328948,18111.018182998458,0.07111179571122915,0.6046649390349315
0.17584594334292855,0.22867080060011422,10135.177946338252,0.00017922463684064312,0.0069481993085442895
0.11557351714238889,0.1476225481267939,2591.9526885111586,4.583459528447408e-05,0.006395389906042825
0.16287012153301553,0.22729350147150765,21426.641959796514,0.00037889636909102704,0.007502627234276638
0.10117989225876454,0.13405855397573752,7358.76691512568,0.00013012818669205865,0.006708876738117153
0.0971364328846902,0.2240471119880076,13286.018461294796,0.00023494228186135986,0.006601905877137271
0.2550540285702451,0.24283268438085404,19076.77232197443,0.001211359398492368,0.04703063575157729
0.16443558558698174,0.1523292253924699,7541.3270992581365,0.0010323211849094867,0.021129144630187557
0.17924579629983808,0.2187722769266326,12627.152891317217,0.00022329128341503282,0.007387302151196318
0.20226528154308399,0.1240115422469037,13023.75084550181,0.08469981004604503,0.6540404577871584
0.22669508545140143,0.19217336235284524,2937.9423770235476,0.011240437014431887,0.1385136883978797
0.24375819144472466,0.11922795561408309,5153.294557824671,0.15796280494679887,0.8064769478516345
0.2745061239941461,0.13495187265930236,7411.725320315818,0.15623548734635612,0.8038419739058122
0.1600229495051387,0.15637512283396796,5910.849973508906,0.00016640405336384355,0.010565198960861388
0.15128041121149377,0.10657401359892862,18576.472456024854,0.04715749667871244,0.46977075391974155
0.24010229304886999,0.14594366374665918,4627.010746663111,0.08717841483485973,0.6620590113588871
0.2624533211555958,0.16853958946700914,7184.5329468992,0.0712892636721667,0.6147264787993851
0.2288502414461292,0.2547021424769812,17419.007740843714,0.00030802767874489915,0.009019236378988493
0.09955981288983273,0.2211831398237739,4476.098211053,7.915273718789157e-05,0.006332405885922654
0.24501502873012054,0.08594852497448892,11302.512968212342,0.2777538570707505,0.9282742050559148
0.10381871513602434,0.07611959908583278,3799.6165170549716,0.012293880521758385,0.05660526872909566
0.2663338062924705,0.08139072713874895,15696.708272048363,0.32774271081198714,0.955529980452365
0.07918847123676066,0.13087534773132511,20539.533453754833,0.000363209254303762,0.007099339048933007
0.10977215985985042,0.1931674980851208,7618.5968448823605,0.00013472286919763768,0.0064986433036465785
0.17001342927984142,0.173175254032152,10268.773848825538,0.00018158706966949468,0.01040537405031039
0.17325237269368135,0.12814315182212924,4066.569727745721,0.035746054153053944,0.35759416746634254
0.25193292734528444,0.18701759338154192,8662.253367245736,0.03501343389131098,0.460011039287048
0.11515863387340883,0.10318010650611371,14127.31313227455,0.0020229504769324,0.026350108577810172
0.260838123234383,0.08012963654450549,16867.056328494742,0.3259169911705646,0.9546774142821363
0.22443652832927502,0.11098731555172625,11619.76090969704,0.15418910680552259,0.8006680516890932
0.14602541833799065,0.21144515667609426,6747.514607497918,0.00011931915369504347,0.006569388326610581
0.08185025504342844,0.2319670518114711,9125.592843317474,0.0001613717166051385,0.006437690295527099
0.26516953847901625,0.08666207833454656,20843.964978720578,0.3036248366666891,0.9435695074107082
0.21219829698931214,0.11789303135845895,14895.854134628746,0.11526851586075178,0.7296951409223368
0.09330976174695875,0.24355300425780735,19509.036110895526,0.00034498653408936906,0.0067461443420182565
0.0806015968622705,0.14718930580675182,18381.357861040982,0.0003250453228078945,0.006901909190314304
0.23518609745500108,0.22767929569735515,15146.608400537929,0.0005833492596643599,0.02678392308296096
0.1267464883415248,0.1848981088918596,8137.1381957950125,0.00014389245514829713,0.006640335796771701
0.11283618154847638,0.1987211956674064,11423.246883590391,0.00020200210446153803,0.0066526206520698405
0.1848849047918023,0.24226694268188348,18862.18808061397,0.0003335480468785765,0.007566175314142498
0.1366245652386926,0.07589731833238371,17869.43010820072,0.1153443142463587,0.7117836964339321
0.2809504986093717,0.21945178269415327,3203.524081830264,0.024628694296951293,0.39194254860760847
0.2823416490785539,0.1642661443137306,10009.519767301485,0.10058344335526158,0.6968207874206627
0.2636781918709425,0.20928577479011393,13473.405277585325,0.021839603469913114,0.3727186772595763
0.18730952092900094,0.2510043028419302,3414.0025852375397,6.037125117603674e-05,0.006422752896820927
0.16490948067798752,0.16332029118285946,5587.215200334371,0.00010444992411822005,0.009643123284071353
0.1798463275179084,0.20249270586232537,3535.5667127902193,6.252092104161124e-05,0.0067168631789782385
0.08542903845271069,0.17513328274484213,12908.387409561214,0.00022826447230882467,0.006632096001240595
0.10046576640259014,0.2499023602657312,8517.001890461768,0.00015060974546979476,0.006439984842900426
0.2198064253198968,0.12733123929521425,22499.23576344393,0.1020846894379592,0.7000110067339707
0.09419001015842346,0.24889470933151958,10234.763321455954,0.00018098564713415826,0.006479239934324088
0.22521231984274698,0.17947830360297942,13175.209027784726,0.021119499073790432,0.350856702870428
0.22365611303845184,0.10052889364334322,22019.30560964416,0.187787268254533,0.846946247789928
0.27912620807262,0.15889673820795036,13844.790106367904,0.10746373036112492,0.7128772531896297
0.13511856955351917,0.13933753185439707,3658.966102020525,6.470304461539113e-05,0.007340650333222953
0.25629561291825137,0.19211806210349125,14982.723917675668,0.03301937426103128,0.4495427895939823
0.1581226550095129,0.16654798382746622,23264.973834793127,0.0004114043688946104,0.012229977266588365
0.21621230918403977,0.1222652807746431,21185.329851473416,0.10967384704249164,0.7175143117813371
0.13211859622105707,0.2486918366727063,16716.87630474502,0.00029561159169487825,0.006815124306226217
0.12345505186078709,0.09867058565135815,23490.320175807316,0.01946145666793773,0.1543015086901508
0.14467000185927736,0.2140833991867094,23627.92396370775,0.00041782256948175357,0.007459220745142159
0.19185054094522502,0.12969883395064152,3932.1521685876487,0.05734266239680255,0.5484063557872305
0.24168420352783387,0.09549572078686186,11028.236475377973,0.2343148541847954,0.8952794315499947
0.11993368353151435,0.13893599854660163,16216.253314326868,0.0002867588636888361,0.008161398908425155
0.12894411436553307,0.22359256951087228,7790.150960428955,0.00013775653315698284,0.006511805481858035
0.25734919030876796,0.2059959707111065,11438.196401958023,0.020327430866155148,0.35718106264295413
0.1550006758261269,0.12500119017645073,6436.572665779464,0.016647878853102493,0.13064076819556125
0.19654708512600488,0.19846908114106926,6905.3289466209335,0.00012210985137862853,0.009761696039838563
0.08998208752226328,0.11008000984133903,23183.321953013434,0.0004099604841461825,0.008334544108087538
0.16846381446586506,0.0939674841358856,14649.576584565233,0.11398774968185728,0.723760802068854
0.24539600939966716,0.18780252765173866,19915.45922833933,0.028823872863371625,0.42250113039738124
0.21857850883845092,0.19537542206837252,12306.745711569629,0.005363521817595443,0.09794394339202639
0.2531994329533988,0.07953849400385937,18938.57166592302,0.31775722823861935,0.9508942980703973
0.17801860180950707,0.24516745517858068,17596.71405506306,0.000311170134634562,0.007304894654455385
0.1898378700307116,0.19604328709799668,15409.731602536684,0.00027249679925691223,0.011637860722450877
0.11161208160175007,0.07793156963247089,20387.79375506291,0.04935677086646354,0.3182655053533828
0.2729742323109936,0.13570696389159342,23430.156816958202,0.1524708701525248,0.7979507710191857
0.11884806790212155,0.181757300474871,6657.554144986312,0.00011772834480061414,0.0065252644059454745
0.1524573120242646,0.1608302258730534,2534.303064438057,4.481515260737395e-05,0.006847521499434017
0.09867554258809103,0.15461021270565645,19418.49798524809,0.00034338551013346935,0.007127050056374595
0.1860970466120539,0.17585351368512764,15543.708547301223,0.001179455378507605,0.03091405199895203
0.27634194576926185,0.24625847693994593,19168.224782641384,0.005800314245588209,0.1721442090841695
0.09208068311862304,0.1550747840355735,22791.45889283817,0.00040303100397099246,0.007171470630909171
0.21339293548914023,0.17657965336800907,7911.684684718199,0.014883305466129577,0.23817351946581844
0.12650667694036868,0.1886953725865143,2387.160662706677,4.221317130484592e-05,0.0063156685466796425
0.08790049129483818,0.22267114582959932,22396.62992144097,0.0003960490763336593,0.006840706749086323
0.1491558443556575,0.13353444040669132,16099.089210199427,0.003604882771149457,0.04829984260059628
0.26813787569107955,0.1517998893234453,20088.162305654292,0.10927012682314298,0.7168909354981909
0.25013351321257216,0.1448651742214086,5436.341697131918,0.10198197690300095,0.7000991618157597
0.19332839828451265,0.2087943681551026,12017.268512842524,0.0002125064400876002,0.008730399943564837
0.2094122403861461,0.21042289005834547,11821.278072010582,0.0002090406582564057,0.01300226315338504
0.13103264331944592,0.1703631980513584,15898.714022741131,0.00028114368213816087,0.007379242547011389
0.26975232691084566,0.20060335064377077,4295.981137004537,0.03457332339860165,0.45803271096074905
0.272561775906504,0.20199118333489816,7140.62834556915,0.0353611881750491,0.463480207352888
0.1561702680976639,0.14104076349852462,6578.272172312196,0.0016504878776809348,0.02489240849588359
0.1091569075322135,0.09262200308372956,15280.129834155956,0.0050698881489907675,0.04348169571450766
0.11798644980474791,0.09168656101619545,13381.926297243048,0.02034457320729748,0.12762873856629808
