scenario,peak_incidence,total_incidence,final_V,attack_from_S
vax observed,12065.339471195812,351738.9790152155,43221427.19394094,0.7783796200519608
vax none,12065.339471195812,352138.88462261314,0.0,0.014083924631253408
vax +20%,12065.339471195812,351683.19668423175,51859071.303921975,0.9311217560791785
mobility observed,12065.339471195812,351738.9790152155,43221427.19394094,0.7783796200519608
mobility baseline,40833.067575359666,5330811.862112118,43215487.29107618,0.8662650202211155
mobility extra 20% cut,8692.167102129715,166209.72550753749,43215725.61065525,0.7750139015002409
