date,cases,cases_7d,sir,seir,seirs
2020-09-01,1962.0,1315.857142857143,,,
2020-09-02,2696.0,1532.2857142857142,,,
2020-09-03,2716.0,1726.571428571429,,,
2020-09-04,2637.0,1904.0,,,
2020-09-05,2200.0,2068.1428571428573,,,
2020-09-06,2079.0,2224.1428571428573,,,
2020-09-07,3530.0,2545.714285714286,,,
2020-09-08,3071.0,2704.1428571428573,,,
2020-09-09,2893.0,2732.285714285714,,,
2020-09-10,3143.0,2793.285714285714,,,
2020-09-11,2893.0,2829.8571428571427,,,
2020-09-12,2224.0,2833.285714285714,,,
2020-09-13,1722.0,2782.285714285714,,,
2020-09-14,2941.0,2698.1428571428573,,,
2020-09-15,3057.0,2696.1428571428573,,,
2020-09-16,3778.0,2822.5714285714284,,,
2020-09-17,3979.0,2942.0,,,
2020-09-18,4290.0,3141.5714285714284,,,
2020-09-19,4215.0,3426.0,,,
2020-09-20,4652.0,3844.571428571429,,,
2020-09-21,4727.0,4099.714285714285,,,
2020-09-22,5400.0,4434.428571428572,,,
2020-09-23,5933.0,4742.285714285715,,,
2020-09-24,6361.0,5082.571428571428,,,
2020-09-25,6105.0,5341.857142857143,,,
2020-09-26,5704.0,5554.571428571428,,,
2020-09-27,6084.0,5759.142857142857,,,
2020-09-28,8641.0,6318.285714285715,,,
2020-09-29,8832.0,6808.571428571428,,,
2020-09-30,10663.0,7484.285714285715,,,
2020-10-01,11444.0,8210.42857142857,,,
2020-10-02,11719.0,9012.42857142857,,,
2020-10-03,9820.0,9600.42857142857,,,
2020-10-04,9966.0,10155.0,,,
2020-10-05,14218.0,10951.714285714286,,,
2020-10-06,14458.0,11755.42857142857,,,
2020-10-07,15418.0,12434.714285714286,,,
2020-10-08,15452.0,13007.285714285714,,,
2020-10-09,13159.0,13213.0,,,
2020-10-10,10301.0,13281.714285714286,,,
2020-10-11,9781.0,13255.285714285714,,,
2020-10-12,16420.0,13569.857142857143,,,
2020-10-13,15660.0,13741.57142857143,,,
2020-10-14,16646.0,13917.0,,,
2020-10-15,15428.0,13913.57142857143,,,
2020-10-16,14761.0,14142.42857142857,,,
2020-10-17,12487.0,14454.714285714286,,,
2020-10-18,11982.0,14769.142857142857,,,
2020-10-19,22369.0,15619.0,,,
2020-10-20,21638.0,16473.0,,,
2020-10-21,21762.0,17203.85714285714,,,
2020-10-22,19866.0,17837.85714285714,,,
2020-10-23,18359.0,18351.85714285714,,,
2020-10-24,13713.0,18527.0,,,
2020-10-25,13353.0,18722.85714285714,,,
2020-10-26,23033.0,18817.714285714286,,,
2020-10-27,20762.0,18692.571428571428,,,
2020-10-28,20547.0,18519.0,,,
2020-10-29,20257.0,18574.85714285714,,,
2020-10-30,19899.0,18794.85714285714,,,
2020-10-31,14565.0,18916.571428571428,,,
2020-11-01,13611.0,18953.42857142857,,,
2020-11-02,28394.0,19719.285714285717,,,
2020-11-03,22690.0,19994.714285714286,,,
2020-11-04,21053.0,20067.0,,,
2020-11-05,21206.0,20202.571428571428,,,
2020-11-06,21179.0,20385.42857142857,,,
2020-11-07,16888.0,20717.285714285717,,,
2020-11-08,18272.0,21383.14285714286,,,
2020-11-09,28560.0,21406.85714285714,,,
2020-11-10,24836.0,21713.42857142857,,,
2020-11-11,25065.0,22286.571428571428,,,
2020-11-12,22320.0,22445.714285714286,,,
2020-11-13,22008.0,22564.14285714286,,,
2020-11-14,16290.0,22478.714285714286,,,
2020-11-15,14422.0,21928.714285714286,,,
2020-11-16,24136.0,21296.714285714286,,,
2020-11-17,20677.0,20702.571428571428,,,
2020-11-18,18545.0,19771.14285714286,,,
2020-11-19,15797.0,18839.285714285717,,,
2020-11-20,14960.0,17832.428571428572,,,
2020-11-21,10806.0,17049.0,,,
2020-11-22,10216.0,16448.14285714286,,,
2020-11-23,16472.0,15353.285714285714,,,
2020-11-24,14266.0,14437.42857142857,,,
2020-11-25,14155.0,13810.285714285714,,,
2020-11-26,12459.0,13333.42857142857,,,
2020-11-27,12459.0,12976.142857142857,,,
2020-11-28,9347.0,12767.714285714286,,,
2020-11-29,9068.0,12603.714285714286,,,
2020-11-30,15228.0,12426.0,,,
2020-12-01,13731.0,12349.57142857143,15095.703169703382,16056.53033917278,16024.463816143672
2020-12-02,13662.0,12279.142857142857,15241.952964832324,14916.937988666314,14887.04739455843
2020-12-03,12762.0,12322.42857142857,15388.925179039903,14149.202764377995,14120.05536109541
2020-12-04,13065.0,12409.0,15536.60686259787,13644.739876755339,13615.370478071705
2020-12-05,10302.0,12545.42857142857,15684.984627729807,13326.787937449652,13296.54645005461
2020-12-06,11036.0,12826.57142857143,15834.044644729514,13141.071910746095,13109.52029909449
2020-12-07,17662.0,13174.285714285714,15983.772638245586,13049.212627797137,13016.055360298507
2020-12-08,16937.0,13632.285714285714,16134.153883739644,13024.070719871686,12989.107846119998
2020-12-09,17744.0,14215.42857142857,16285.17320412586,13046.453648886974,13009.549251006494
2020-12-10,18850.0,15085.142857142857,16436.81496659982,13102.788364128848,13063.849380062633
