date,cases_7d,deaths,stringency,workplace_m,inc_filter,deaths_filter,inc_openloop,S,I,R,D,V,beta,Reff
2020-09-01,1315.857142857143,4.0,64.35,0.5764637044242308,2154.317237662108,14.661067190404243,2154.317237662108,56150348.596162364,7263.6850043664945,350902.5300664665,40012.751706223906,0.0,0.29869906717100486,2.0761115955013785
2020-09-02,1532.2857142857142,10.0,64.35,0.5903188259109312,2170.1750187541606,14.822017595210045,2170.1750187541606,56148675.58337831,7343.426337425783,351708.0635967642,40024.132963598626,0.0,0.297639228063773,2.068683531808174
2020-09-03,1726.571428571429,6.0,64.35,0.5953735548077653,2198.472860605545,15.06556706319379,2198.472860605545,56147157.99419237,7464.090583448256,352444.8506575201,40034.54291283417,0.0,0.29665392450386624,2.061779643774001
2020-09-04,1904.0,8.0,64.35,0.6155884685489948,2291.3601061537292,15.75534385414721,2291.3601061537292,56145599.05003806,7805.833873192381,353207.10904559854,40045.312742521426,0.0,0.29565960505938504,2.054811952655145
2020-09-05,2068.1428571428573,12.0,64.35,0.9092927689594356,2447.2033956765476,16.896485469046596,2447.2033956765476,56143881.18574303,8371.201532200748,354053.5178616594,40057.27152042844,0.0,0.29445132057252177,2.046351853296301
2020-09-06,2224.1428571428573,9.0,64.35,0.9324232804232804,2578.3235651002938,17.891572099857505,2578.3235651002938,56142235.822943866,8864.207651359493,354875.0720601588,40068.87913137321,0.0,0.2929823524148143,2.0360832762005554
2020-09-07,2545.714285714286,13.0,64.35,0.5917557763873553,2792.3091040764693,19.46039391455418,2792.3091040764693,56140267.56347503,9641.46535995206,355860.54764268134,40082.80276189513,0.0,0.2917290232883097,2.0273021785386036
2020-09-08,2704.1428571428573,10.0,64.35,0.6005602759813287,2969.128911668454,20.819277503204077,2969.128911668454,56138387.7542261,10314.711189697406,356820.6717960705,40096.368206026295,0.0,0.28996509006109,2.0149766677363368
2020-09-09,2732.285714285714,10.0,64.35,0.6224649078991185,3112.3635236845525,22.042681931410765,3112.3635236845525,56136571.09472262,10920.835169898295,357784.29551295325,40109.983094945135,0.0,0.28709276755008645,1.9949522474108334
2020-09-10,2793.285714285714,12.0,64.35,0.6189717256427782,3250.1206062949927,23.3268775911992,3250.1206062949927,56134685.379791945,11557.07758223667,358824.660961389,40124.68225575983,0.0,0.2833047294887777,1.9685637724742113
2020-09-11,2829.8571428571427,9.0,64.35,0.633413861479651,3328.637292803251,24.299670929630754,3328.637292803251,56132979.86983971,12039.038703684751,359833.4796398584,40138.93569722029,0.0,0.27854170857558214,1.9354087666892597
2020-09-12,2833.285714285714,18.0,64.35,0.9185276955013796,3456.205855966419,25.7598560700625,3456.205855966419,56130858.99886012,12762.473414842392,361112.88729469624,40157.01224801639,0.0,0.2728328953524903,1.895670236118076
2020-09-13,2782.285714285714,15.0,64.35,0.9424955804429488,3497.5077427356414,26.782409462457622,3497.5077427356414,56128963.86292245,13269.087677367967,362382.61441859865,40174.95202412869,0.0,0.2655609812325897,1.8450819524621465
2020-09-14,2698.1428571428573,17.0,65.74,0.6528237774246546,3505.305568007781,27.714342089167406,3505.305568007781,56127028.706862606,13730.804751425321,363775.8718751087,40194.637141022446,0.0,0.2572121669940643,1.7870139019715805
2020-09-15,2696.1428571428573,15.0,65.74,0.6557520853091028,3471.562097569403,28.392497504211445,3471.562097569403,56125191.386274405,14066.790342031532,365207.4112339963,40214.86313691964,0.0,0.24865990171140176,1.727539409638793
2020-09-16,2822.5714285714284,23.0,65.74,0.6535839569786939,3517.445022689005,29.63498914907493,3517.445022689005,56122825.77627305,14682.370900502236,366935.54441943695,40239.279660622924,0.0,0.2413933305569684,1.6769849587426513
2020-09-17,2942.0,25.0,65.74,0.6539376809025932,3571.3756035113925,30.960784104822,3571.3756035113925,56120280.0431443,15339.223284701644,368813.5145816549,40265.81320755787,0.0,0.23460971820152243,1.6297845569216525
2020-09-18,3141.5714285714284,21.0,65.74,0.6657906599573267,3602.9218926717394,32.0493720479581,3602.9218926717394,56117842.08961512,15878.55373151026,370680.77926224115,40292.19549840623,0.0,0.22865284562749905,1.5883344084828932
2020-09-19,3426.0,19.0,65.74,0.9135406445406444,3657.099535863417,33.14850729589038,3657.099535863417,56115363.525438584,16423.109739234023,372563.7904920197,40318.80026977771,0.0,0.22440538496014453,1.5587606219233547
2020-09-20,3844.571428571429,28.0,65.74,0.9389062969194548,3854.4767947284276,35.12122869201318,3854.4767947284276,56112180.91904677,17400.475618314686,374721.0727654384,40349.28017388263,0.0,0.22324453509024353,1.550609199135918
2020-09-21,4099.714285714285,24.0,65.74,0.6472181828892355,4022.3406495001777,36.86058352623054,4022.3406495001777,56109104.93985188,18262.2222744412,376870.4177881285,40379.64793380874,0.0,0.22198598269746503,1.5417830384151758
